ID,Province,Prefecture,County,Website
1,Heilongjiang,Harbin City,Daoli District,http://www.hrbdl.gov.cn/
2,Heilongjiang,Harbin City,Nangang District,http://www.hrbng.gov.cn/
3,Heilongjiang,Harbin City,Daowai District,http://www.hrbdw.gov.cn/
4,Heilongjiang,Harbin City,Xiangfang District,http://www.hrbxf.gov.cn/structure/index.htm
5,Heilongjiang,Harbin City,Pingfang District,http://www.hrbpf.gov.cn/
6,Heilongjiang,Harbin City,Songbei District,http://www.songbei.gov.cn/
7,Heilongjiang,Harbin City,Hulan District,http://www.hulan.gov.cn/
8,Heilongjiang,Harbin City,Acheng District,http://www.acheng.gov.cn/
9,Heilongjiang,Harbin City,Shuangcheng City,http://www.hrbsc.gov.cn:9000/
10,Heilongjiang,Harbin City,Shangzhi City,http://www.shangzhi.gov.cn/
11,Heilongjiang,Harbin City,Wuchang City,http://www.hljwch.gov.cn/
12,Heilongjiang,Harbin City,Yilan County,http://www.hrbyl.gov.cn/
13,Heilongjiang,Harbin City,Fangzheng County,http://www.hrbfz.gov.cn/
14,Heilongjiang,Harbin City,Bin County,http://www.chinabx.gov.cn/
15,Heilongjiang,Harbin City,Bayan County,http://www.bayan.gov.cn/
16,Heilongjiang,Harbin City,Mulan County,http://www.mulan.gov.cn/
17,Heilongjiang,Harbin City,Tonghe County,http://www.hrbtonghe.gov.cn/
18,Heilongjiang,Harbin City,Yanshou County,http://www.hlyanshou.gov.cn/
19,Heilongjiang,Qiqihar City,Longsha District,http://www.qqhrlsq.gov.cn/
20,Heilongjiang,Qiqihar City,Jianhua District,http://www.jhq.gov.cn/
21,Heilongjiang,Qiqihar City,Tiefeng District,http://www.tfqzf.gov.cn/
22,Heilongjiang,Qiqihar City,Ang'angxi District,http://221.209.18.46/wM_BigClass.asp?E_typeid=17&E_BigClassID=28
23,Heilongjiang,Qiqihar City,Fularji District,http://www.flej.gov.cn/
24,Heilongjiang,Qiqihar City,Nianzishan District,http://www.nzs.gov.cn/
25,Heilongjiang,Qiqihar City,Meilisi Daur District,http://www.mls.gov.cn/
26,Heilongjiang,Qiqihar City,Nehe City,http://www.nehe.gov.cn/
27,Heilongjiang,Qiqihar City,Longjiang County,http://www.ljxrmzfw.gov.cn/
28,Heilongjiang,Qiqihar City,Yi'an County,http://www.hljyian.gov.cn/
29,Heilongjiang,Qiqihar City,Tailai County,http://www.tailai.gov.cn/
30,Heilongjiang,Qiqihar City,Gannan County,http://www.gannan.gov.cn/
31,Heilongjiang,Qiqihar City,Fuyu County,http://www.fuyu.gov.cn/
32,Heilongjiang,Qiqihar City,Keshan County,http://www.keshan.gov.cn/
33,Heilongjiang,Qiqihar City,Kedong County,http://www.qqhrgasc.cn/
34,Heilongjiang,Qiqihar City,Baiquan County,http://www.baiquan.gov.cn/
35,Heilongjiang,Heihe City,Aihui District,http://www.heihe.gov.cn/
36,Heilongjiang,Heihe City,Bei'an City,http://www.hljba.gov.cn/
37,Heilongjiang,Heihe City,Wudalianchi City,http://www.hljwdlc.gov.cn/
38,Heilongjiang,Heihe City,Nenjiang County,http://www.nenjiang.gov.cn/
39,Heilongjiang,Heihe City,Xunke County,http://www.xunke.gov.cn/
40,Heilongjiang,Heihe City,Sunwu County,http://www.hljsunwu.gov.cn/
41,Heilongjiang,Daqing City,Sartu District,http://www.hlsaertu.gov.cn/
42,Heilongjiang,Daqing City,Longfeng District,http://www.dqlf.gov.cn/
43,Heilongjiang,Daqing City,Ranghulu District,http://dqranghulu.gov.cn/
44,Heilongjiang,Daqing City,Datong District,http://dt.daqing.gov.cn/
45,Heilongjiang,Daqing City,Honggang District,http://www.honggang.gov.cn/
46,Heilongjiang,Daqing City,Zhaozhou County,http://www.zhaozhou.gov.cn/
47,Heilongjiang,Daqing City,Zhaoyuan County,http://www.zgzy.gov.cn/
48,Heilongjiang,Daqing City,Lindian County,http://zwgk.lindian.gov.cn/
49,Heilongjiang,Daqing City,Dorbod Mongol Autonomous County,http://www.drbt.gov.cn/
50,Heilongjiang,Yichun City,Yichun District,http://www.ycycq.gov.cn/
51,Heilongjiang,Yichun City,Nancha District,http://www.nancha.gov.cn/
52,Heilongjiang,Yichun City,Youhao District,http://www.yhq.gov.cn/
53,Heilongjiang,Yichun City,Xilin District,http://www.xilin.gov.cn/
54,Heilongjiang,Yichun City,Cuiluan District,http://www.cuiluan.gov.cn/
55,Heilongjiang,Yichun City,Xinqing District,http://www.ycxq.gov.cn/
56,Heilongjiang,Yichun City,Meixi District,http://www.meixi.gov.cn/
57,Heilongjiang,Yichun City,Jinshantun District,http://www.ycjst.gov.cn/
58,Heilongjiang,Yichun City,Wuying District,http://www.ycwy.gov.cn/
59,Heilongjiang,Yichun City,Wumahe District,http://www.wumahe.gov.cn/
60,Heilongjiang,Yichun City,Tangwanghe District,http://www.twh.gov.cn/
61,Heilongjiang,Yichun City,Dailing District,http://www.ycdlq.gov.cn/
62,Heilongjiang,Yichun City,Wuyiling District,http://www.ycwyl.gov.cn/
63,Heilongjiang,Yichun City,Hongxing District,http://www.ychxq.gov.cn/
64,Heilongjiang,Yichun City,Shangganling District,http://www.ycsgl.gov.cn/
65,Heilongjiang,Yichun City,Tieli City,http://www.tls.gov.cn/
66,Heilongjiang,Yichun City,Jiayin County,http://www.jyx.gov.cn/
67,Heilongjiang,Hegang City,Xingshan District,http://www.xingshan.gov.cn/
68,Heilongjiang,Hegang City,Xiangyang District,http://c718710.s06.108198.com/
69,Heilongjiang,Hegang City,Gongnong District,
70,Heilongjiang,Hegang City,Nanshan District,http://www.szns.gov.cn/
71,Heilongjiang,Hegang City,Xing'an District,http://xinganqu.mofcom.gov.cn/
72,Heilongjiang,Hegang City,Dongshan District,http://www.hgdsw.gov.cn/
73,Heilongjiang,Hegang City,Luobei County,http://www.luobei.gov.cn/
74,Heilongjiang,Hegang City,Suibin County,http://www.suibin.gov.cn/
75,Heilongjiang,Jiamusi City,Qianjin District,http://www.jms.gov.cn/jsgk/hn/default.htm
76,Heilongjiang,Jiamusi City,Xiangyang District,http://xyqzf.jms.gov.cn/
77,Heilongjiang,Jiamusi City,Dongfeng District,http://www.jmsdf.gov.cn/
78,Heilongjiang,Jiamusi City,Jiaoqu District,http://www.jmsjq.gov.cn/index.php
79,Heilongjiang,Jiamusi City,Tongjiang City,http://www.tongjiang.gov.cn/
80,Heilongjiang,Jiamusi City,Fujin City,http://www.fujin.gov.cn/
81,Heilongjiang,Jiamusi City,Huanan County,http://61.138.10.131/
82,Heilongjiang,Jiamusi City,Huachuan County,http://www.huachuan.gov.cn/
83,Heilongjiang,Jiamusi City,Tangyuan County,http://www.tynet.gov.cn/
84,Heilongjiang,Jiamusi City,Fuyuan County,http://www.hljfy.gov.cn/
85,Heilongjiang,Shuangyashan City,Jianshan District,http://61.167.104.185/bm/sysjsq/index.asp
86,Heilongjiang,Shuangyashan City,Lingdong District,http://www.sysld.gov.cn/
87,Heilongjiang,Shuangyashan City,Sifangtai District,http://61.167.104.185/bm/sft/index.asp
88,Heilongjiang,Shuangyashan City,Baoshan District,http://61.167.104.185/bm/bsq/index.asp
89,Heilongjiang,Shuangyashan City,Jixian County,http://www.jixian.gov.cn/
90,Heilongjiang,Shuangyashan City,Youyi County,http://www.hljyy.gov.cn/
91,Heilongjiang,Shuangyashan City,Baoqing County,http://www.hlbaoqing.gov.cn/
92,Heilongjiang,Shuangyashan City,Raohe County,http://www.hlraohe.gov.cn/
93,Heilongjiang,Qitaihe City,Taoshan District,http://www.qth.gov.cn/
94,Heilongjiang,Qitaihe City,Xinxing District,http://www.hljxinxing.gov.cn/
95,Heilongjiang,Qitaihe City,Qiezihe District,
96,Heilongjiang,Qitaihe City,Boli County,http://www.hljboli.gov.cn/
97,Heilongjiang,Jixi City,Jiguan District,http://www.jgq.gov.cn/
