"","countyurl","benev","comp","county_en","prefecture_en","province_en","county_cn","prefecture_cn","cntygb00","macroregion","countytype","linksall","linksint","links_chtxt","links_include","X2009_gdppc_cny","X2010_illiterateprop","sec_2011","mayor_gender","mayor_birth","mayor_2011","mayor_tenure2","mayor_edulevel","mayor_status","pref_ps_2011","pref_ps_edulevel","pref_2010_gdppc","itemploy","county_mediaexp","mayor_first","mayor_last","sec_first","sec_last","pref_ps_first","pref_ps_last","mayor_age","mayor_promote"
"2","www.aes.gov.cn",0.0123456790123457,0.259259259259259,"Arxan","Hinggan","Inner Mongolia","阿尔山市","兴安盟",152202,"West","District",28679,9623,162,1,150356,2.369999886,2,"M",1972,1,1,4,"in office",2,3,16203,12,36531.17081,1,0,0,0,0,0,39,0
"3","www.ahsx.gov.cn",0.400709219858156,0.306737588652482,"Si","Suzhou","Anhui","泗县","宿州市",341324,"Central","County",333321,32697,564,1,8089.010989,13.61999989,2,"F",1964,2,3,4,"promotion",2,4,9945,92,30824.87603,0,0,0,0,0,0,47,1
"4","www.ahyingjiang.gov.cn",0.420100502512563,0.147738693467337,"Yingjiang","Anqing","Anhui","迎江区","安庆市",340802,"Central","District",4771,4029,995,1,34156.53029,5.659999847,2,"M",1962,2,4,4,"promotion",2,3,18604,111,34924.5301,0,0,0,0,0,0,49,1
"5","www.ahys.gov.cn",0.180535966149506,0.160789844851904,"Yingshang","Fuyang","Anhui","颍上县","阜阳市",341226,"Central","County",42325,39125,709,1,6331.137725,16.55999947,2,"M",1964,2,3,3,"in office",2,3,9068,127,44275.42647,0,0,0,0,0,0,47,0
"6","www.bazhou.gov.cn",0.446808510638298,0.339173967459324,"Bazhou","Langfang","Hebei","巴州区","巴中市",511902,"East","County",24514,14892,799,1,35859.29648,5.03000021,2,"M",NA,1,1,1,"in office",1,3,8618,340,47225.71403,1,0,0,0,1,0,NA,0
"7","www.chinabx.gov.cn",0.145161290322581,0.104838709677419,"Bin","Harbin","Heilongjiang","宾县","哈尔滨市",230125,"Central","County",3698,3595,372,1,19965.07937,3.569999933,3,"M",1966,1,1,4,"in office",2,3,36951,97,49009.67092,1,0,0,1,0,0,45,0
"8","www.dlt.gov.cn",0.137295081967213,0.159836065573771,"Dalad","Ordos","Inner Mongolia","达拉特旗","鄂尔多斯市",152722,"West","County",16273,16121,488,1,77786.11111,6.980000019,2,"M",1960,2,3,2,"in office",1,0,175125,57,136074.6995,0,0,0,0,1,0,51,0
"9","www.dongtou.gov.cn",0.053481331987891,0.116044399596367,"Dongtou","Wenzhou","Zhejiang","洞头县","温州市",330322,"East","County",3367,2102,991,1,23107.69231,17.61000061,3,"M",1962,3,5,3,"promotion",2,5,37359,33,8374.786691,0,1,0,1,0,0,49,1
"10","www.fengkai.gov.cn",0.084648493543759,0.144906743185079,"Fengkai","Zhaoqing","Guangdong","封开县","肇庆市",441225,"East","County",30463,30404,697,1,11500,4.21999979,2,"M",1978,2,4,3,"promotion",1,4,27836,10,15913.67538,0,0,0,0,1,0,33,1
"11","www.ganxian.gov.cn",0.037237643872715,0.516587677725118,"Gan","Ganzhou","Jiangxi","赣县","赣州市",360721,"Central","County",3590,2990,1477,1,10229.5082,5.349999905,3,"M",1966,3,2,4,"promotion",2,3,13322,73,18692.41585,0,1,0,1,0,0,45,1
