topic	label	word_cn	word_en	freq
5	Economic development	发展	Development	0.041
5	Economic development	经济	Economy	0.018
5	Economic development	产业	Industry	0.017
5	Economic development	企业	Enterprise	0.015
5	Economic development	建设	Build	0.012
5	Economic development	科技	Technology	0.009
5	Economic development	加快	Accelerate	0.008
5	Economic development	创新	Innovation	0.007
5	Economic development	社会	Community	0.007
5	Economic development	技术	Technology	0.006
5	Economic development	工业	Industry	0.006
5	Economic development	规划	Planning	0.006
5	Economic development	推进	Advance	0.006
5	Economic development	资源	Resources	0.006
5	Economic development	旅游	Travel	0.006
5	Economic development	重点	Emphasis	0.005
5	Economic development	服务	Service	0.005
5	Economic development	提高	Increase	0.005
5	Economic development	市场	Market	0.005
5	Economic development	化	Change	0.005
5	Economic development	环境	Environment	0.005
5	Economic development	服务业	Services Industry	0.004
5	Economic development	优势	Superior	0.004
5	Economic development	开发	Open up	0.004
5	Economic development	实施	Implement	0.004
5	Economic development	提升	Upgrade	0.004
5	Economic development	国家	Country	0.004
5	Economic development	体系	System	0.004
5	Economic development	文化	Culture	0.004
5	Economic development	完善	Perfect	0.004
5	Economic development	生态	Ecology	0.004
5	Economic development	节能	Energy	0.003
5	Economic development	战略	Strategy	0.003
5	Economic development	人才	Talent	0.003
5	Economic development	产品	Product	0.003
5	Economic development	进一步	Further	0.003
5	Economic development	支持	Support	0.003
5	Economic development	特色	Characteristic	0.003
5	Economic development	基地	Base	0.003
5	Economic development	政策	Policy	0.003
5	Economic development	新	New	0.003
5	Economic development	增长	Increase	0.003
5	Economic development	品牌	Brand	0.003
5	Economic development	基础	Base	0.003
5	Economic development	水平	Level	0.003
5	Economic development	科学	Science	0.003
5	Economic development	目标	Target	0.003
5	Economic development	强	Strength	0.003
5	Economic development	推动	Promote	0.003
5	Economic development	能力	Ability	0.003
10	Health and social security	医疗	Medical	0.039
10	Health and social security	保险	Insurance	0.031
10	Health and social security	劳动	Labor	0.023
10	Health and social security	保障	Guarantee	0.016
10	Health and social security	社会	Social	0.015
10	Health and social security	保	Insurance	0.015
10	Health and social security	职工	Staff	0.014
10	Health and social security	机构	Agency	0.014
10	Health and social security	人员	Staff	0.011
10	Health and social security	养老	Pension	0.01
10	Health and social security	元	Yuan	0.01
10	Health and social security	参	Participate	0.009
10	Health and social security	医院	Hospital	0.008
10	Health and social security	卫生	Health	0.008
10	Health and social security	基金	Fund	0.008
10	Health and social security	标准	Standard	0.008
10	Health and social security	费用	Cost	0.008
